Name,Nationality,"Launch 
Mission","Landin
Mission",Launched,Landed,Duration,,,,
,,,,,,Days,hh:mm,,,
Gennady Sarafanov,Soviet,Soyuz 15,Soyuz 15,26/08/1974 19:58,28/08/1974 20:10,2,00:12,,,
Lev Dyomin,Soviet,Soyuz 15,Soyuz 15,26/08/1974 19:58,28/08/1974 20:10,2,00:12,,,
Anatoly Filipchenko,Soviet,Soyuz 16,Soyuz 16,02/12/1974 09:40,08/12/1974 08:03,5,22:23,,,
Nikolai Rukavishnikov,Soviet,Soyuz 16,Soyuz 16,02/12/1974 09:40,08/12/1974 08:03,5,22:23,,,
Aleksei Gubarev,Soviet,Soyuz 17,Soyuz 17,10/01/1975 21:43,09/02/1975 11:02,29,13:19,,,
Georgy Grechko,Soviet,Soyuz 17,Soyuz 17,10/01/1975 21:43,09/02/1975 11:02,29,13:19,,,
Pyotr Klimuk,Soviet,Soyuz 18,Soyuz 18,24/05/1975 14:58,26/07/1975 14:18,62,23:20,,,
Vitaly Sevastyanov,Soviet,Soyuz 18,Soyuz 18,24/05/1975 14:58,26/07/1975 14:18,62,23:20,,,
Alexei Leonov,Soviet,Soyuz 19,Soyuz 19,15/07/1975 12:20,21/07/1975 10:50,5,22:30,,,
Valeri Kubasov,Soviet,Soyuz 19,Soyuz 19,15/07/1975 12:20,21/07/1975 10:50,5,22:30,,,
Thomas Stafford,US,Apollo Soyuz,Apollo Soyuz,15/07/1975 19:50,24/07/1975 21:18,9,01:28,,,
Vance Brand,US,Apollo Soyuz,Apollo Soyuz,15/07/1975 19:50,24/07/1975 21:18,9,01:28,,,
Deke Slayton,US,Apollo Soyuz,Apollo Soyuz,15/07/1975 19:50,24/07/1975 21:18,9,01:28,,,
Boris Volynov,Soviet,Soyuz 21,Soyuz 21,24/08/1976 18:32,13/10/1976 00:55,49,06:23,,,
Vitaly Zholobov,Soviet,Soyuz 21,Soyuz 21,24/08/1976 18:32,13/10/1976 00:55,49,06:23,,,
Valery Bykovsky,Soviet,Soyuz 22,Soyuz 22,15/09/1976 09:48,23/09/1976 07:40,7,21:52,,,
Vladimir Aksyonov,Soviet,Soyuz 22,Soyuz 22,15/09/1976 09:48,23/09/1976 07:40,7,21:52,,,
Vyacheslav Zudov,Soviet,Soyuz 23,Soyuz 23,14/10/1976 17:39,16/10/1976 17:45,2,00:06,,,
Valery Rozhdestvensky,Soviet,Soyuz 23,Soyuz 23,14/10/1976 17:39,16/10/1976 17:45,2,00:06,,,
Viktor Gorbatko,Soviet,Soyuz 24,Soyuz 24,07/02/1977 16:11,25/02/1977 09:37,17,17:26,,,
Yuri Glazkov,Soviet,Soyuz 24,Soyuz 24,07/02/1977 16:11,25/02/1977 09:37,17,17:26,,,
Vladimir Kovalyonok,Soviet,Soyuz 25,Soyuz 25,09/10/1977 02:40,11/10/1977 03:24,2,00:44,,,
Valery Ryumin,Soviet,Soyuz 25,Soyuz 25,09/10/1977 02:40,11/10/1977 03:24,2,00:44,,,
Yuri Romanenko,Soviet,Soyuz 26,Soyuz 27,10/12/1977 01:18,16/03/1978 11:18,96,10:00,,,
Georgi Grechko,Soviet,Soyuz 26,Soyuz 27,10/12/1977 01:18,16/03/1978 11:18,96,10:00,,,
Vladimir Dzhanibekov,Soviet,Soyuz 27,Soyuz 26,10/01/1978 12:16,16/01/1978 11:24,5,23:08,,,
Oleg Makarov,Soviet,Soyuz 27,Soyuz 26,10/01/1978 12:16,16/01/1978 11:24,5,23:08,,,
Aleksei Gubarev,Soviet,Soyuz 28,Soyuz 28,02/03/1978 15:28,16/01/1978 11:24,7,22:16,,,
Vladimír Remek,Czech,Soyuz 28,Soyuz 28,02/03/1978 15:28,16/01/1978 11:24,7,22:16,,,
Vladimir Kovalyonok,Soviet,Soyuz 29,Soyuz 31,15/06/1978 10:16,02/11/1978 11:04,140,00:48,,,
Aleksandr Ivanchenkov,Soviet,Soyuz 29,Soyuz 31,15/06/1978 10:16,02/11/1978 11:04,140,00:48,,,
Pyotr Klimuk,Soviet,Soyuz 30,Soyuz 30,27/06/1978 15:27,05/07/1978 13:30,7,22:02,,,
Mirosław Hermaszewski,Polish,Soyuz 30,Soyuz 30,27/06/1978 15:27,05/07/1978 13:30,7,22:02,,,
Valery Bykovsky,Soviet,Soyuz 31,Soyuz 29,26/08/1978 14:51,03/09/1978 11:40,7,20:49,,,
Sigmund Jahn,German,Soyuz 31,Soyuz 29,26/08/1978 14:51,03/09/1978 11:40,7,20:49,,,
Vladimir Lyakhov,Soviet,Soyuz 32,Soyuz 34,25/02/1979 11:53,19/08/1979 12:29,175,00:36,,,
Valery Ryumin,Soviet,Soyuz 32,Soyuz 34,25/02/1979 11:53,19/08/1979 12:29,175,00:36,,,
Nikolai Rukavishnikov,Soviet,Soyuz 33,Soyuz 33,10/04/1979 17:34,12/04/1979 16:35,1,23:01,,,
Georgi Ivanov,Bulgarian,Soyuz 33,Soyuz 33,10/04/1979 17:34,12/04/1979 16:35,1,23:01,,,
Leonid Popov,Soviet,Soyuz 35,Soyuz 37,09/04/1980 13:28,11/10/1980 09:49,184,20:21,,,
Valery Ryumin,Soviet,Soyuz 35,Soyuz 37,09/04/1980 13:28,11/10/1980 09:49,184,20:21,,,
Valery Kubasov,Soviet,Soyuz 36,Soyuz 36,26/05/1980 18:20,03/06/1980 15:06,7,20:46,,,
Bertalan Farkas,Hungarian,Soyuz 36,Soyuz 36,26/05/1980 18:20,03/06/1980 15:06,7,20:46,,,
Yury Malyshev,Soviet,Soyuz T-2,Soyuz T-2,05/06/1980 14:19,09/06/1980 13:39,3,22:19,,,
Vladimir Aksyonov,Soviet,Soyuz T-2,Soyuz T-2,05/06/1980 14:19,09/06/1980 13:39,3,22:19,,,
Viktor Gorbatko,Soviet,Soyuz 37,Soyuz 36,23/07/1980 18:33,31/07/1980 15:15,7,20:42,,,
Pham Tuân,Vietnamese,Soyuz 37,Soyuz 36,23/07/1980 18:33,31/07/1980 15:15,7,20:42,,,
Yuri Romanenko,Soviet,Soyuz 38,Soyuz 38,18/09/1980 19:11,26/09/1980 15:54,7,20:43,,,
Arnaldo Tamayo Mendez,Cuban,Soyuz 38,Soyuz 38,18/09/1980 19:11,26/09/1980 15:54,7,20:43,,,
Leonid Kizim,Soviet,Soyuz T-3,Soyuz T-3,,,,,,,
Oleg Makarov,Soviet,Soyuz T-3,Soyuz T-3,,,,,,,
Gennady Strekalov,Soviet,Soyuz T-3,Soyuz T-3,,,,,,,
Vladimir Kovalyonok,Soviet,Soyuz T-4,Soyuz T-4,,,,,,,
Viktor Savinykh,Soviet,Soyuz T-4,Soyuz T-4,,,,,,,
Vladimir Dzhanibekov,Soviet,Soyuz 39,Soyuz 39,,,,,,,
Jügderdemidiin Gürragchaa,Mongolian,Soyuz 39,Soyuz 39,,,,,,,
Leonid Popov,Soviet,Soyuz 40,Soyuz 40,,,,,,,
Dumitru Prunariu,Romanian,Soyuz 40,Soyuz 40,,,,,,,
Anatoli Berezovoy,Soviet,Soyuz T-5,Soyuz T-7,,,,,,,
Valentin Lebedev,Soviet,Soyuz T-5,Soyuz T-7,,,,,,,
Vladimir Dzhanibekov,Soviet,Soyuz T-6,Soyuz T-6,,,,,,,
Aleksandr Ivanchenkov,Soviet,Soyuz T-6,Soyuz T-6,,,,,,,
Jean-Loup Chrétien,French,Soyuz T-6,Soyuz T-6,,,,,,,
Leonid Popov,Soviet,Soyuz T-7,Soyuz T-5,,,,,,,
Aleksandr Serebrov,Soviet,Soyuz T-7,Soyuz T-5,,,,,,,
Svetlana Savitskaya,Soviet,Soyuz T-7,Soyuz T-5,,,,,,,
Vladimir Titov,Soviet,Soyuz T-8,Soyuz T-8,,,,,,,
Gennady Strekalov,Soviet,Soyuz T-8,Soyuz T-8,,,,,,,
Aleksandr Serebrov,Soviet,Soyuz T-8,Soyuz T-8,,,,,,,
Vladimir Lyakhov,Soviet,Soyuz T-9,Soyuz T-9,,,,,,,
